%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
56.9 5028 22.853085 3593.53333333333 1434.46666666667 4.800915 7.07119980843367 
100.466666666667 9853.6 44.4399733333332 6940.9 2912.7 9.75482666666667 7.9885956366751 
156.5 14841.8666666667 62.3507383333332 9193.46666666667 5648.4 19.2795283333333 8.92411366618147 
206.033333333333 19612 77.7265783333331 10995.4 8616.6 30.1394216666666 11.7516969338575 
254.333333333333 24443.4666666667 90.7011766666663 11807.5 12635.9666666667 43.73789 15.0309413540343 
312.166666666667 29095.7333333333 101.238561666666 12234.4666666667 16861.2666666667 58.7879716666666 15.8532256364882 
351.7 33281.3333333333 111.200558333333 12406.8333333333 20874.5 71.846775 15.8726624581381 
399.633333333333 36314.1333333333 118.426944999999 12452.2 23861.9333333333 81.3007883333334 13.3545897874213 
396.033333333333 38233.6 122.242906666666 12483.4 25750.2 88.0418933333333 10.5360182143999 
391.033333333333 38744.5333333333 123.179513333333 12464.1333333333 26280.4 89.91542 8.65487314916439 
382.2 39334.4 124.288033333333 12448.7333333333 26885.6666666667 92.0511666666667 6.84042446557472 
401 40009.6 125.927241666666 12561.4333333333 27448.1666666667 94.1255583333333 5.81701858517703 
391.133333333333 40396.8 126.447541666666 12542.1333333333 27854.6666666667 95.7348583333333 5.242200524853 
348.1 40265.6 126.042551666666 12506.3 27759.3 95.4182483333334 4.84327041096807 
352.666666666667 40645.3333333333 126.961303333333 12517.0666666667 28128.2666666667 96.58803 4.49950236676067 
